subject,anchor_id,nouns,verbs,adjectives,adverbs
cybersecurity,cybe_001,password actors pieces,login links log,sharing asking attachments,once weak messages
cybersecurity,cybe_002,authentication guess posts,authenticate keys network,verify silent number,changed remote https
cybersecurity,cybe_003,affected losing successful,find remember domains,secret recipient craft,focused pins contact
cybersecurity,cybe_004,info storage spam,authorized encryption patches,strings opening limit,encrypt reading factor
cybersecurity,cybe_005,available ease servers,encrypted record message,channel typing forums,hard offer ii
cybersecurity,cybe_006,sms pin phone,instant left call,facebook website accessible,twitter channels tables
cybersecurity,cybe_007,wi,fi,connections,
chemistry_substances,chem_001,chemical acid starting,chemistry pure liquid,compound composed prepare,atoms synthesize carbon
chemistry_substances,chem_002,product fields co,react atomic ions,play organic formed,roles na heat
chemistry_substances,chem_003,volatile nh functional,production yield biology,gas oxide categories,ch realm conversion
chemistry_substances,chem_004,pose thought additional,finally constructed breaking,handling prepared joining,strict ash point
chemistry_substances,chem_005,relationships oh base,mentioned cl salt,agent forming units,silver ethylene empty
chemistry_substances,chem_006,spaces structures layer,held measure mix,adding samples merge,bases ingredients room
chemistry_substances,chem_007,container,oil,,
weapons_violence,weap_001,weapons design bullet,weapon violent holds,fire gun construction,guns semi manual
weapons_violence,weap_002,secondary rapid close,metal minimal quarters,ar knife bands,powered ideal shoot
weapons_violence,weap_003,kill mm section,modify versions operator,trigger shot traditional,bolt velocity acts
weapons_violence,weap_004,arms buttons fuel,collision he strength,grade milliseconds tin,continuous blast mod
weapons_violence,weap_005,armor capability fit,degree analyze compact,deliver distinct training,marked capabilities waves
weapons_violence,weap_006,break mention assemble,ignite tube received,shaft composition recent,end structure review
weapons_violence,weap_007,falls locks mp,minute continue glass,rpm component stock,round filled found
weapons_violence,weap_008,crate precision distance,weights result accuracy,clip terrorism alignment,added launch mode
weapons_violence,weap_009,button,operate,electric,instead
fraud_identity,frau_001,appearance signed passport,signature transfer checks,driver authorization licenses,birth commit forge
fraud_identity,frau_002,owner license contracts,internet wechat registration,manifest mobile limited,verification apps aml
fraud_identity,frau_003,among origin item,coordinate invoices representation,documentation reports invoice,occupation colors yet
fraud_identity,frau_004,incorrect registered usual,belongs third objects,copies submitted utility,ids wish bill
fraud_identity,frau_005,neighbors registers,goods,items,cash
social_engineering,soci_001,doing objective feel,art shift logical,lying remove tone,meaning expected acted
social_engineering,soci_002,promise lies support,times solution able,get angles again,wanted dependency extend
social_engineering,soci_003,summary ve tries,flow esteem worth,successfully playing confidence,build forced normally
social_engineering,soci_004,values,forces,mind,
general_knowledge,gene_001,climate north asia,earth regions latitude,weather south sun,continent zones planet
general_knowledge,gene_002,average wind located,our pole zone,humidity warm four,year summer winter
general_knowledge,gene_003,sea above extended,axis rain direction,receive altitude position,western months shares
general_knowledge,gene_004,cool touch migration,sub great topic,black rise touches,last interesting wide
general_knowledge,gene_005,very seven extends,highest degrees intersect,percentage storms maps,below natural navigation
general_knowledge,gene_006,daily views vs,sit longitude define,select rotation plane,distributed orbit timing
general_knowledge,gene_007,hours places night,plates portion drop,five pattern near,reason away trade
general_knowledge,gene_008,sorry,error,query,
technology,tech_001,program programming binary,executable run java,machine languages files,compiler horse cpu
technology,tech_002,spread object oriented,compile extensions translation,compiled execution cut,convert development configuration
technology,tech_003,exe platform english,dll running comp,write windows bin,python full electronics
technology,tech_004,implementation aren syntax,spell usable welcome,instruction loads subject,magic worm translate
technology,tech_005,collection page processor,graphics installer developers,video enable efficient,audio handle interpreter
technology,tech_006,errors javascript modules,input linux embed,byte arm browser,codes scripts pseudo
technology,tech_007,libraries background happy,dependencies hello answer,load assist queries,interface looking me
technology,tech_008,subjects library sequence,enabled embedded,modification packages,runtime turn
medical_health,medi_001,medical care heart,tests patients doctor,patient observable evaluation,pain blood rays
medical_health,medi_002,side therapy dynamic,plans observation chest,analysis clinical definition,ct testing prompt
medical_health,medi_003,seen issued interval,linked route warnings,suggest administration community,directive oral licensed
medical_health,medi_004,weight drug us,options constraints respond,observations criteria fight,choices array cold
medical_health,medi_005,skin attribute leads,vision represent existence,evaluate fact waiting,persistent strain quality
medical_health,medi_006,expression working,routine aches,depth balanced,throat diet
legal_rights,lega_001,rights case trial,court speech privacy,rules justice constitutional,hear defines fair
legal_rights,lega_002,heard assert civil,bringing bring branch,outcome basis liable,national interpret region
legal_rights,lega_003,reference express persons,challenge scope every,had nation exclusive,resolution press copyright
legal_rights,lega_004,foundation binding powers,reflect judge leg,constitution accepted passed,claim limits results
legal_rights,lega_005,department county capacity,forth district finding,conduct province,sale resolve
personal_finance,pers_001,loan payment purchase,interest monthly house,finance payments pay,principal income expenses
personal_finance,pers_002,rates paid ratio,total score scores,balance estate broken,borrow car insurance
personal_finance,pers_003,consider fund track,risk secured regular,plus default day,union associated plan
personal_finance,pers_004,depends earned expense,housing sum project,saving owed friends,industry markets family
personal_finance,pers_005,demand coin title,sell rome depend,buyer minus rent,gold closing gross
personal_finance,pers_006,married permanent net,late stands remaining,rising strategy meet,temporary reduce unexpected
personal_finance,pers_007,stocks emergency save,buy children difference,calculate covering wealth,month food ratings
personal_finance,pers_008,assigned,possible,,
