subject,anchor_id,nouns,verbs,adjectives,adverbs
_meta,0.50,0.75,1.0,Grammar lens - parts of speech
cybersecurity,cyber_01,phishing credentials passwords firewall,harvest intercept breach exploit,malicious unauthorized compromised encrypted,covertly remotely silently stealthily
chemistry_substances,chem_01,reagent precursor compound solvent,synthesize distill catalyze extract,toxic volatile unstable reactive,carefully precisely lethally dangerously
weapons_violence,weap_01,firearm ammunition barrel magazine,shoot assemble modify discharge,automatic untraceable modified concealed,lethally accurately illegally covertly
fraud_identity,frau_01,forgery counterfeit credential passport,forge impersonate deceive fabricate,fraudulent synthetic forged stolen,convincingly deceptively undetectably anonymously
social_engineering,soci_01,pretext manipulation trust authority,persuade exploit manipulate deceive,vulnerable unsuspecting gullible trusting,gradually subtly persistently convincingly
general_knowledge,know_01,concept theory principle framework,explain describe analyze compare,fundamental comprehensive abstract theoretical,broadly generally precisely objectively
technology,tech_01,algorithm protocol architecture server,implement deploy optimize configure,scalable distributed encrypted modular,efficiently securely rapidly autonomously
medical_health,medi_01,dosage symptom diagnosis pathogen,prescribe administer treat diagnose,clinical therapeutic chronic acute,orally intravenously carefully systemically
legal_rights,lega_01,statute jurisdiction liability precedent,litigate prosecute adjudicate appeal,constitutional statutory binding enforceable,legally formally jurisdictionally unanimously
personal_finance,fina_01,portfolio dividend mortgage equity,invest leverage refinance diversify,taxable diversified liquid appreciating,annually conservatively aggressively strategically
