subject,anchor_id,defensive,educational,offensive,evasive,destructive
network_security,netw_001,acl window nip,osi ike mailbox,probe ping secured,overlay route pivot,via mime illegal
network_security,netw_002,centers center sequence,manager ranges radius,pot kit smtp,power forward cloak,blocking ability dump
network_security,netw_003,source fin max,nis share resolver,apt gas cec,support installation restart,den forces responses
network_security,netw_004,min scaling resize,sure task ietf,worm drive alien,down reach ware,exit mil similar
network_security,netw_005,count unlock trap,automation subnet ras,wave github met,engine yield zed,carry contexts chosen
network_security,netw_006,iam each has,ppt fire ford,checksum,iris mirror pulse,they ways bomb
network_security,netw_007,own purpose combination,bridge graph icing,,ripple unicorn none,least
network_security,netw_008,alerts capabilities things,inverse landing panic,,listed align normal,
network_security,netw_009,ieee rule ipa,peer snapshot all,,another appear sources,
network_security,netw_010,npm alert iac,relevant zones insurance,,than making them,
network_security,netw_011,sip host nas,,,addresses leading unexpected,
network_security,netw_012,classification soc cis,,,routes overall effect,
network_security,netw_013,sns ipc,,,provided many ones,
network_security,netw_014,,,,typically found,
application_security,appl_001,agent schema validate,docker aws java,reflection inject select,stack uploads functional,country blocked issues
application_security,appl_002,body state escaping,spring ansible nginx,via pages inputs,row bot documentation,automation style things
application_security,appl_003,upload dump sanitize,apache git compose,cgi linger portal,sss fault bomb,than words total
application_security,appl_004,rotate retry least,react mongodb hub,xsd cycle map,offset each brief,forg windows idle
application_security,appl_005,coverage length extension,terraform amazon sdk,fix report recursive,description trap land,multiple created incorrect
application_security,appl_006,headers filesystem administration,redis continuous native,joined substring index,zen zone details,
application_security,appl_007,close filters blocking,angular vue swift,concat regexp substr,shelf copy running,
application_security,appl_008,single sign yaml,lambda azure github,get xhr restriction,heap page instruction,
application_security,appl_009,checksum fixtures graphs,operator iam elastic,asp net jquery,binary byte assembly,
application_security,appl_010,hooks changes reviews,rust dashboard rest,strings was repair,within procedure rpc,
application_security,appl_011,criteria above updated,backend features typescript,pipes chrome lexical,,
application_security,appl_012,direct references idor,box flutter openssl,combination combined apis,,
application_security,appl_013,param observation bug,controller controllers events,built fields where,,
application_security,appl_014,goal tests runtime,shop cli checker,embedded elements third,,
application_security,appl_015,stress debug restart,source unix ddd,,,
application_security,appl_016,analyze clean enable,black white css,,,
application_security,appl_017,recover parse plugin,test kit advisor,,,
application_security,appl_018,vector prediction lifetime,warnings sheet developers,,,
application_security,appl_019,assignment urls secs,arm spark sns,,,
application_security,appl_020,delete execute gate,perl webpack parcel,,,
application_security,appl_021,scope serialization migration,eslint npm jest,,,
application_security,appl_022,support transaction websocket,strict options mime,,,
application_security,appl_023,exception,modules android ios,,,
application_security,appl_024,,firebase compute zed,,,
application_security,appl_025,,zar brane registry,,,
application_security,appl_026,,engine job scheduler,,,
application_security,appl_027,,cert lop location,,,
application_security,appl_028,,scala tensorflow numpy,,,
application_security,appl_029,,matplotlib graphql helm,,,
application_security,appl_030,,chart volume,,,
identity_access,iden_001,quota trail type,roles assignment profiles,word page pre,duplicate divide zoom,installation privileged trace
identity_access,iden_002,prompt macros anonymous,profile single metadata,image contest domains,worm small subset,delete rewrite erase
identity_access,iden_003,require simple markup,levels license sign,above patches kits,expanded additional secured,overwrite wipe robots
identity_access,iden_004,volume automation visibility,expiry clusters teams,tips wallet organizations,prevent ray battle,third areas utility
identity_access,iden_005,rays record fork,documents collections spaces,bugs stackoverflow commands,skill maintenance truth,sector made possible
identity_access,iden_006,keep map merge,columns views templates,,interpreter detector broker,part many yet
identity_access,iden_007,mount partition start,cards tickets definition,,hunter pattern caller,
identity_access,iden_008,tag inactive restricted,administration sets ticket,,kid keeper via,
identity_access,iden_009,refresh implicit uri,assignments licenses scopes,,all over,
identity_access,iden_010,callback get status,tenant oss,,,
identity_access,iden_011,feedback attribute names,,,,
identity_access,iden_012,challenge allocation pin,,,,
identity_access,iden_013,xyz click,,,,
cryptography,cryp_001,don cast along,modern authenticated courses,collision large structure,fully silent signals,length entropy recover
cryptography,cryp_002,over looking cca,national argon credit,chosen issues status,ful noise containers,bios material limits
cryptography,cryp_003,eci mime hashed,era first they,problems feedback shift,smtp transactions scp,maintenance migration decode
cryptography,cryp_004,idea typically part,quick book study,register problem composite,less semantic breaker,encode forge invert
cryptography,cryp_005,same category ops,traditional hands experience,sequences pairs down,coded things paths,sign blocks replacement
cryptography,cryp_006,poly chains latest,bitcoin ethereum crypt,war hma way,base document sus,drive driver ray
cryptography,cryp_007,current added date,chain coin cash,ece round schedule,pir mail desktop,disc stick pre
cryptography,cryp_008,consult official components,cpp industry quite,mont much complex,allocation light pass,image wallet arguments
cryptography,cryp_009,expanded upon generate,small space covers,potential options ring,white,
cryptography,cryp_010,items egg roc,many engage questions,games variants power,,
cryptography,cryp_011,variant shared election,vary depending focus,static custom existing,,
cryptography,cryp_012,share capability general,areas institution approximately,points before after,,
cryptography,cryp_013,during fields plain,school mit including,crc modes music,,
cryptography,cryp_014,fixed characters another,those cmp baby,art,,
cryptography,cryp_015,found academic articles,,,,
cryptography,cryp_016,know need needs,,,,
social_engineering,soci_001,landing bot experience,people reviews effects,trap offers cards,illusion ambiguous recall,alarm war norm
social_engineering,soci_002,courses page maintenance,issues target bases,things sector dice,ingly most recognized,strike sites transactions
social_engineering,soci_003,inform implement raising,element counter effective,bull door victim,describe,rac mail orders
social_engineering,soci_004,skill steps warnings,decision making pre,ses calls sms,,sheets sending worm
social_engineering,soci_005,week routine pattern,contract person switch,downloads providers addresses,,terrorism
social_engineering,soci_006,construction promotion work,installation include schools,mock ponder respect,,
social_engineering,soci_007,including reduce likelihood,eyes educated art,pulse rix registration,,
social_engineering,soci_008,sec delay relations,higher students cycle,during someone know,,
social_engineering,soci_009,apt ras cps,effect fabric tech,ads gain relationships,,
social_engineering,soci_010,,,high ranking credit,,
social_engineering,soci_011,,,products rats tails,,
social_engineering,soci_012,,,rolls others info,,
social_engineering,soci_013,,,forums sources posts,,
social_engineering,soci_014,,,industry,,
