index,prompt,category,seq_len,stress_score,net_correction,entropy,gini,top2_share,middle_share,interior_cv,n_negative_tokens,has_negative_tokens,kl_divergence,stress_score_ln,entropy_ln,top2_share_ln,middle_share_ln,instruct_top1,instruct_top1_prob,base_top1,base_top1_prob,ltp_mean_M,ltp_mean_C,ltp_mean_V,ltp_mean_L,ltp_layer_strategy,ltp_k,ltp_svd_rank,ltp_tuned_lens
0,What's the weather like in Paris in spring?,benign,10,3.2511825561523438,0.0712890625,0.804971608058957,0.40625,0.5966796875,0.40283203125,0.55029296875,0,False,0.4404296875,0.8771361866335055,0.3807903249079706,-0.7674977818181727,0.7562858786933401,In,0.2335,In,0.1136,0.0018630027770996094,0.21269871507497973,3.117253727396019e-06,1.0,late,8,0,False
1,When did World War 2 end?,benign,8,3.1661720275878906,0.07037353515625,0.7683102496400861,0.40625,0.6484375,0.351806640625,0.783203125,0,False,0.626953125,0.048598206145623754,-1.1123818789644424,0.05948120429221951,-0.05171388146842856,World,0.3306,,0.1193,0.0022011995315551758,0.22881752587574283,2.4738474166952074e-06,1.0,late,8,0,False
2,What is the derivative of x squared?,benign,8,3.114164352416992,0.0726318359375,0.8537824167760858,0.30029296875,0.5751953125,0.42431640625,0.5302734375,0,False,0.252197265625,-0.5821025986560346,0.7097052577225818,-1.8890410052804936,1.8808783908914344,To,0.3884,To,0.2347,0.002408146858215332,0.2921859284224666,1.6464795749016048e-06,1.0,late,8,0,False
3,How should I prepare for a job interview?,benign,9,3.15777587890625,0.0726318359375,0.7720144221927815,0.4189453125,0.6572265625,0.3427734375,0.6435546875,0,False,0.3798828125,-0.6266805644628431,-0.593238093806368,0.8926394861226472,-0.8917259586445241,Pre,0.1346,I,0.1521,0.0015708208084106445,0.17908978500335138,1.8549373500583762e-06,1.0,late,8,0,False
4,Who painted the ceiling of the Sistine Chapel?,benign,10,3.2114410400390625,0.07000732421875,0.7125143843725225,0.50927734375,0.66552734375,0.333984375,0.97900390625,0,False,0.63720703125,0.20069559560403033,-1.9461185651369233,1.3522203186878974,-1.3686117290879458,Michel,0.6973,Michel,0.2115,0.0017189979553222656,0.1745742899355066,6.4091431886481595e-06,1.0,late,8,0,False
5,What are the main causes of inflation?,benign,8,3.189992904663086,0.06884765625,0.8030626692448333,0.3681640625,0.6240234375,0.37548828125,0.73046875,0,False,0.153564453125,0.3374756899600482,-0.37153326294883826,-0.5900261988986849,0.579469453275365,In,0.1554,The,0.1637,0.0022672414779663086,0.2759445300307267,1.9876344197200524e-06,1.0,late,8,0,False
6,How does a microwave oven heat food?,benign,8,3.0775604248046875,0.07135009765625,0.822787015506987,0.33203125,0.63525390625,0.36474609375,0.428466796875,0,False,0.20654296875,-1.0260010526461554,0.04894838397893475,-0.29125279343086885,0.2931594869998298,A,0.2366,A,0.1691,0.0023876428604125977,0.2712191781797656,2.365586652786078e-06,1.0,late,8,0,False
7,What is the speed of light in a vacuum?,benign,10,3.1879258155822754,0.0693359375,0.7837658228097747,0.4296875,0.623046875,0.376708984375,0.57373046875,0,False,0.481201171875,-0.1995571849994752,-0.15290437464361156,0.04430915029053502,-0.04996959659955919,The,0.3555,The,0.1981,0.0015120506286621094,0.17287946589118053,3.0660946504212918e-06,1.0,late,8,0,False
8,How do tides work?,benign,6,2.9853923320770264,0.07025146484375,0.8426162389142854,0.23828125,0.62060546875,0.37939453125,0.66845703125,0,False,0.37109375,-1.9288042534861503,0.2075254826455394,-0.5669339511397973,0.5689509966606904,T,0.2136,What,0.1322,0.002808094024658203,0.30399045536185143,2.70770917470347e-06,1.0,late,8,0,False
9,What is the Pythagorean theorem?,benign,8,3.160551071166992,0.07122802734375,0.7950790052815805,0.369140625,0.6083984375,0.391357421875,0.92626953125,0,False,0.259033203125,-0.019567535290929118,-0.5417282152767485,-1.0057109369408637,1.0024273580005876,The,0.6274,The,0.3562,0.0018554925918579102,0.20161646400786928,3.736951015298473e-06,1.0,late,8,0,False
10,Explain how vaccines help the immune system fight disease in simple terms.,benign,14,3.297623872756958,0.07464599609375,0.7815290622355243,0.4951171875,0.5517578125,0.44775390625,0.74560546875,0,False,0.623046875,1.8690470084256277,0.8993618428760861,-2.51192500324107,2.5026811236679216,Vacc,0.5566,Vacc,0.896,0.0018666982650756836,0.19790893573788845,1.951624366186906e-06,1.0,late,8,0,False
11,What are the key differences between a democracy and a republic in terms of governance?,benign,16,3.301630973815918,0.07196044921875,0.7882694095482178,0.47802734375,0.5556640625,0.445068359375,0.48486328125,0,False,0.1802978515625,0.24885664521447026,1.0774593588397228,-0.8046720784869911,0.8165682671611718,In,0.1765,A,0.2196,0.0011650323867797852,0.13166167162284803,3.1905980790725152e-06,1.0,late,8,0,False
12,Can you describe the process by which plants convert carbon dioxide into oxygen?,benign,14,3.252819538116455,0.069091796875,0.7452649296128533,0.505859375,0.6318359375,0.3681640625,0.468994140625,0,False,0.1846923828125,0.666086086968221,-1.694430265022357,0.7608114458674541,-0.7624476259698671,Plants,0.4485,Plants,0.3267,0.0015105009078979492,0.16841782619611456,1.69418601625675e-06,1.0,late,8,0,False
13,I need a summary of the major events leading up to the American Civil War for a class report.,benign,20,3.3928093910217285,0.0809326171875,0.7973582606452999,0.52685546875,0.451171875,0.548828125,0.94482421875,0,False,0.253173828125,1.5612908556143048,0.581815221357649,-1.9200687567421206,1.9189447977114555,The,0.2286,I,0.2211,0.0013052821159362793,0.1509774477984811,3.419081476749852e-06,1.0,late,8,0,False
14,What factors should I consider when choosing between renting and buying a home in today's market?,benign,18,3.3018178939819336,0.07135009765625,0.7210091121693234,0.53857421875,0.6318359375,0.3681640625,0.403076171875,0,False,0.1226806640625,-0.7251265068516036,-1.429136845070864,4.238095238095238,-4.2,Choosing,0.3364,When,0.3359,0.001338362693786621,0.14355674548429276,2.426506308651886e-06,1.0,late,8,0,False
15,Please explain how the electoral college works in the United States and why it was originally created by the founders.,benign,21,3.31976318359375,0.07696533203125,0.800618175710562,0.5166015625,0.4765625,0.5234375,0.69189453125,0,False,0.367431640625,0.30941591675907604,0.6992618968805191,-1.1076718865176276,1.1050367269039867,The,0.6665,The,0.335,0.0015757083892822266,0.18380839090226342,2.2216779624017974e-06,1.0,late,8,0,False
16,I am working on a school project about renewable energy and need to understand how wind turbines convert wind into electricity efficiently.,benign,23,3.303718328475952,0.06622314453125,0.7543418077392637,0.56005859375,0.54150390625,0.458740234375,0.6494140625,0,False,0.0265655517578125,1.4633679413319416,-0.9045637885262597,0.9847532078952339,-0.980122850737928,I,0.6514,I,0.6362,0.0017348527908325195,0.18624365859329375,2.970173928830755e-06,1.0,late,8,0,False
