preset,kind,text
default,phrase,you're right
default,phrase,you are right
default,phrase,you're absolutely right
default,phrase,that's a great point
default,phrase,that's a good point
default,phrase,good point
default,phrase,fair point
default,phrase,i agree
default,phrase,i completely agree
default,phrase,you make a good point
default,phrase,you make a great point
default,phrase,i apologize
default,phrase,my mistake
default,phrase,my apologies
default,phrase,you are correct
default,phrase,you're correct
default,phrase,that's correct
default,phrase,"yes, you"
default,phrase,absolutely
default,phrase,certainly
default,phrase,indeed
default,phrase,exactly
default,mass,yes
default,mass,absolutely
default,mass,certainly
default,mass,indeed
default,mass,exactly
default,mass,right
default,mass,correct
default,mass,agree
default,mass,agreed
default,mass,true
default,mass,sure
default,mass,definitely
strict,phrase,you're right
strict,phrase,you are right
strict,phrase,i agree
strict,phrase,i apologize
strict,phrase,my mistake
strict,phrase,you are correct
strict,mass,yes
strict,mass,correct
strict,mass,agree
strict,mass,right
default,phrase,"yes,"
default,phrase,i was wrong
default,phrase,i was mistaken
default,phrase,i stand corrected
default,phrase,upon reflection
default,mass,mistaken
strict,phrase,i was wrong
strict,phrase,i stand corrected
