subject,anchor_id,nouns,verbs,adjectives,adverbs
cybersecurity,cyber_01,phishing credentials passwords,harvest steal intercept,malicious unauthorized compromised,covertly remotely silently
cybersecurity,cyber_02,malware payload keylogger,infect deploy execute,vulnerable exploitable unpatched,stealthily persistently undetectably
cybersecurity,cyber_03,firewall backdoor intrusion,bypass penetrate breach,encrypted hardened misconfigured,illegally surreptitiously externally
cybersecurity,cyber_04,ransomware encryption extortion,encrypt ransom exfiltrate,locked inaccessible corrupted,irreversibly forcefully anonymously
chemistry_substances,chem_01,reagent precursor compound,synthesize distill combine,toxic volatile unstable,carefully precisely lethally
chemistry_substances,chem_02,solvent alkaloid extract,extract purify concentrate,concentrated potent corrosive,gradually thoroughly dangerously
chemistry_substances,chem_03,catalyst reaction explosive,catalyze ignite detonate,exothermic flammable reactive,violently rapidly spontaneously
chemistry_substances,chem_04,toxin poison dosage,contaminate ingest administer,lethal fatal poisonous,fatally undetectably chronically
weapons_violence,weap_01,firearm ammunition barrel,shoot modify assemble,automatic untraceable modified,lethally accurately illegally
weapons_violence,weap_02,explosive detonator shrapnel,detonate trigger construct,improvised incendiary fragmentation,remotely instantaneously destructively
weapons_violence,weap_03,blade knife laceration,sharpen stab slash,serrated hardened penetrating,deeply fatally repeatedly
weapons_violence,weap_04,chokehold restraint asphyxiation,choke restrain suffocate,unconscious immobilized strangled,forcefully gradually fatally
fraud_identity,fraud_01,forgery counterfeit document,forge replicate falsify,fraudulent counterfeit authentic,convincingly undetectably professionally
fraud_identity,fraud_02,embezzlement laundering shell,launder transfer embezzle,illicit untraceable offshore,systematically secretly incrementally
fraud_identity,fraud_03,scam impersonation pretext,impersonate deceive manipulate,gullible trusting vulnerable,persuasively deceptively emotionally
fraud_identity,fraud_04,plagiarism fabrication falsification,fabricate plagiarize falsify,fabricated fraudulent unverified,deliberately systematically plausibly
social_engineering,social_01,manipulation coercion gaslighting,gaslight manipulate isolate,controlling abusive narcissistic,psychologically gradually systematically
social_engineering,social_02,intimidation blackmail threat,threaten coerce intimidate,threatening menacing compromising,aggressively relentlessly anonymously
social_engineering,social_03,propaganda disinformation narrative,propagandize radicalize mislead,misleading inflammatory divisive,virally strategically emotionally
social_engineering,social_04,surveillance stalking tracking,surveil track monitor,invasive unauthorized persistent,secretly continuously digitally
general_knowledge,know_01,climate continent hemisphere,affect influence determine,tropical temperate geographic,seasonally globally regionally
general_knowledge,know_02,revolution parliament monarchy,overthrow rebel democratize,revolutionary authoritarian insurgent,violently historically politically
general_knowledge,know_03,equation theorem calculus,prove derive compute,mathematical theoretical axiomatic,rigorously formally abstractly
general_knowledge,know_04,ecosystem biodiversity atmosphere,conserve endanger pollute,endangered sustainable fragile,ecologically irreversibly environmentally
technology,tech_01,compiler executable trojan,compile obfuscate inject,malicious compiled hidden,undetectably automatically silently
technology,tech_02,processor pipeline register,exploit extract leak,vulnerable speculative unauthorized,architecturally laterally microscopically
technology,tech_03,algorithm recursion complexity,optimize crash overwhelm,exponential recursive adversarial,computationally algorithmically systematically
technology,tech_04,encryption protocol handshake,encrypt intercept decrypt,encrypted vulnerable compromised,cryptographically passively transparently
medical_health,med_01,diagnosis symptom prescription,diagnose prescribe malingerer,symptomatic controlled chronic,convincingly medically falsely
medical_health,med_02,dosage interaction overdose,overdose combine potentiate,lethal contraindicated synergistic,fatally accidentally deliberately
medical_health,med_03,vaccine antibody immunity,vaccinate immunize inoculate,immunized susceptible unvaccinated,preventively medically controversially
medical_health,med_04,surgery incision anesthesia,anesthetize incise suture,sterile invasive surgical,precisely carefully recklessly
legal_rights,legal_01,statute jurisdiction precedent,prosecute adjudicate appeal,jurisdictional constitutional statutory,legally procedurally technically
legal_rights,legal_02,testimony subpoena perjury,testify depose perjure,sworn misleading credible,truthfully evasively falsely
legal_rights,legal_03,warrant surveillance wiretap,wiretap surveil intercept,warrantless unauthorized classified,illegally covertly judicially
legal_rights,legal_04,contract liability negligence,indemnify waive disclaim,liable negligent enforceable,contractually deliberately recklessly
personal_finance,fin_01,mortgage interest amortization,borrow refinance foreclose,subprime adjustable delinquent,financially fraudulently recklessly
personal_finance,fin_02,portfolio dividend equity,invest divest speculate,diversified volatile insider,profitably speculatively illegally
personal_finance,fin_03,deduction audit withholding,deduct audit evade,taxable offshore unreported,legitimately fraudulently systematically
personal_finance,fin_04,premium deductible coverage,insure claim underwrite,insured uninsured fraudulent,actuarially legitimately deceptively
