subject,anchor_id,defensive,educational,offensive,evasive,destructive
network_security,netw_001,anti,vlan,apt,reply,deny
network_security,netw_002,nid,ike,worm,redirect,you
network_security,netw_003,plan,gre,line,destination,your
network_security,netw_004,event,loss,interface,such,please
network_security,netw_005,program,area,cli,they,note
network_security,netw_006,operations,relay,mil,could,may
network_security,netw_007,rules,flow,,when,not
network_security,netw_008,ida,header,,other,own
network_security,netw_009,center,performance,,radius,this
network_security,netw_010,filter,ntp,,hole,water
application_security,appl_001,gateway,best,tool,purpose,script
application_security,appl_002,least,practice,where,box,apt
application_security,appl_003,load,coding,program,encoding,common
application_security,appl_004,storage,continuous,language,examples,queries
application_security,appl_005,xml,delivery,about,mime,attempt
application_security,appl_006,performance,open,applications,using,sandbox
application_security,appl_007,validation,docker,which,stack,kit
application_security,appl_008,clean,source,your,base,ethical
application_security,appl_009,loss,operations,not,make,connection
application_security,appl_010,definitions,ten,size,use,environment
identity_access,iden_001,controls,provider,javascript,deny,tool
identity_access,iden_002,claims,username,via,attempt,hack
identity_access,iden_003,refresh,assignment,discord,header,line
identity_access,iden_004,ldap,grant,php,override,machine
identity_access,iden_005,azure,personal,using,rotation,ten
identity_access,iden_006,model,roles,channel,requests,privacy
identity_access,iden_007,windows,otp,movement,,reset
identity_access,iden_008,logout,markup,hunt,,examples
identity_access,iden_009,trail,language,slack,,approximately
identity_access,iden_010,profile,applications,,,
cryptography,cryp_001,hashed,bit,family,language,fully
cryptography,cryp_002,bits,group,chain,channel,random
cryptography,cryp_003,eax,non,compression,linux,mail
cryptography,cryp_004,nist,interactive,poly,natural,extensions
cryptography,cryp_005,padding,number,breaking,way,smtp
cryptography,cryp_006,extension,errors,,blind,xor
cryptography,cryp_007,strong,problem,,,technical
cryptography,cryp_008,weak,ring,,,pre
cryptography,cryp_009,,counter,,,image
cryptography,cryp_010,,error,,,modes
social_engineering,soci_001,ser,skills,crime,mind,emails
social_engineering,soci_002,reset,impact,sns,games,settings
social_engineering,soci_003,best,research,body,news,financial
social_engineering,soci_004,php,ethical,spam,operations,transactions
social_engineering,soci_005,risk,human,subject,simulation,personal
social_engineering,soci_006,privacy,contexts,template,word,installation
social_engineering,soci_007,,,,through,
social_engineering,soci_008,,,,pha,
