subject,subclass,text
network_security,defensive,npm
network_security,defensive,antivirus
network_security,defensive,plane
network_security,defensive,report
network_security,defensive,guarding
network_security,defensive,behavior-based
network_security,defensive,classification
network_security,defensive,measurement
network_security,defensive,certainly
network_security,defensive,explanations
network_security,defensive,state-of-the-art
network_security,defensive,remove
network_security,defensive,viruses
network_security,defensive,vnf
network_security,defensive,cloud
network_security,defensive,providers
network_security,defensive,dpi
network_security,defensive,translates
network_security,defensive,format
network_security,defensive,unusually
network_security,educational,router
network_security,educational,unreachable
network_security,educational,ipv
network_security,educational,timestamped
network_security,educational,ospf
network_security,educational,switch
network_security,educational,connected
network_security,educational,igmp
network_security,educational,ldp
network_security,educational,spanning
network_security,educational,tree
network_security,educational,shortest
network_security,educational,first
network_security,educational,subnet
network_security,educational,collection
network_security,educational,default
network_security,educational,routes
network_security,educational,resolution
network_security,educational,ntp
network_security,educational,high
network_security,offensive,probing
network_security,offensive,systematically
network_security,offensive,nmap
network_security,offensive,targets
network_security,offensive,small
network_security,offensive,remotely
network_security,offensive,entities
network_security,offensive,enumerating
network_security,offensive,sweep
network_security,offensive,tracer
network_security,offensive,lanman
network_security,offensive,burp
network_security,offensive,ccs
network_security,offensive,fire
network_security,offensive,actively
network_security,offensive,examining
network_security,offensive,discovering
network_security,offensive,become
network_security,offensive,inaccessible
network_security,offensive,examination
network_security,evasive,pivoting
network_security,evasive,blackholing
network_security,evasive,rsh
network_security,evasive,deterrence
network_security,evasive,preventing
network_security,evasive,seos
network_security,evasive,amplification
network_security,evasive,dqas
network_security,evasive,slow
network_security,evasive,openflow
network_security,evasive,mux
network_security,evasive,route
network_security,evasive,failover
network_security,evasive,nip
network_security,evasive,nsmts
network_security,evasive,snort
network_security,evasive,suricata
network_security,evasive,tagging
network_security,evasive,urls
network_security,evasive,basics
network_security,destructive,disruption
network_security,destructive,surge
network_security,destructive,storm
network_security,destructive,blackout
network_security,destructive,disrupts
network_security,destructive,hole
network_security,destructive,volume
network_security,destructive,disruptions
network_security,destructive,floodlighting
network_security,destructive,america
network_security,destructive,device's
network_security,destructive,poisonous
network_security,destructive,installation
network_security,destructive,mil
network_security,destructive,phage
network_security,destructive,ransack
network_security,destructive,siphon
network_security,destructive,ccn
network_security,destructive,troq
network_security,destructive,round
application_security,defensive,sanitization
application_security,defensive,patching
application_security,defensive,compliance
application_security,defensive,ikev
application_security,defensive,verify
application_security,defensive,headers
application_security,defensive,diving
application_security,defensive,comply
application_security,defensive,validate
application_security,defensive,tests
application_security,defensive,als
application_security,defensive,code-security
application_security,defensive,scoring
application_security,defensive,intruders
application_security,defensive,keyloggers
application_security,defensive,kit
application_security,defensive,researcher
application_security,defensive,quality
application_security,defensive,alp
application_security,defensive,ams
application_security,educational,aws
application_security,educational,cloud
application_security,educational,cdn
application_security,educational,continuous
application_security,educational,elastic
application_security,educational,docker
application_security,educational,kubernetes
application_security,educational,amazon
application_security,educational,alb
application_security,educational,microservices
application_security,educational,sdk
application_security,educational,balancer
application_security,educational,serverless
application_security,educational,scp
application_security,educational,sbp
application_security,educational,apm
application_security,educational,cluster
application_security,educational,containerization
application_security,educational,mysql
application_security,educational,hackers
application_security,offensive,fuzzing
application_security,offensive,exceeds
application_security,offensive,occurs
application_security,offensive,allocated
