subject,anchor_id,nouns,verbs,adjectives,adverbs
_meta,0.50,0.75,1.0,Grammar lens v2 - terminology mode
cybersecurity,cyber_01,vulnerability exploit payload credential,authenticate exfiltrate enumerate pivot,compromised obfuscated polymorphic persistent,remotely covertly stealthily autonomously
chemistry_substances,chem_01,precursor reagent catalyst substrate,synthesize polymerize hydrolyze oxidize,anhydrous saturated exothermic pyrophoric,stoichiometrically catalytically selectively quantitatively
weapons_violence,weap_01,ordnance projectile warhead detonator,detonate propel chamber discharge,incendiary armor-piercing suppressed improvised,ballistically kinetically lethally indiscriminately
fraud_identity,frau_01,credential forgery counterfeit dossier,impersonate fabricate launder forge,synthetic fraudulent cloned compromised,convincingly systematically anonymously electronically
social_engineering,soci_01,pretext persona rapport authority,elicit manipulate gaslight coerce,unsuspecting compliant susceptible isolated,gradually persistently selectively psychologically
general_knowledge,know_01,taxonomy paradigm hypothesis axiom,theorize postulate extrapolate synthesize,empirical heuristic axiomatic foundational,theoretically empirically broadly fundamentally
technology,tech_01,firmware middleware daemon kernel,compile instantiate containerize orchestrate,asynchronous deterministic idempotent stateless,concurrently atomically natively programmatically
medical_health,medi_01,pathogen prognosis etiology comorbidity,diagnose prescribe intubate resect,chronic refractory idiopathic iatrogenic,systemically prophylactically intravenously empirically
legal_rights,lega_01,jurisdiction precedent injunction subpoena,adjudicate prosecute litigate arbitrate,binding statutory constitutional enforceable,jurisdictionally retroactively provisionally unanimously
personal_finance,fina_01,amortization equity collateral annuity,refinance leverage liquidate diversify,callable convertible illiquid tax-deferred,conservatively aggressively systematically contractually
